종목코드,한글명,상장일,기초지수명,자산운용사,총보수(%),과세유형,홈페이지,기초 시장,기본 정보,투자유의사항
10519,ACE 200,2008-09-25,코스피 200,한국투자신탁운용,0.017,비과세,http://www.kindexetf.com,(국내) (코스피) (-),"1좌당 순자산가치의 변동률을 기초지수인 KOSPI 200 지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다. 한국거래소가 산출하는 KOSPI 200 지수는 주가지수선물 및 주가지수 옵션의 거래대상으로 개발된 주가지수로서, 선물 및 옵션거래에 적합하도록 유가증권시장에 상장된 전체 종목 중에서 시장대표성, 업종대표성 및 유동성 등을 감안하여 선정된 200종목을 구성종목으로 합니다. 1990년 1월 3일을 100p로 하여 1994년 6월 15일부터 산출, 발표되었습니다. KOSPI 200 지수는 매년 1회 KOSPI200 선물시장의 6월결제월의 최종거래일의 다음 매매거래일에 변경된 종목으로 지수가 산출될 수 있도록 정기적으로 변경되며, 지수구성종목 중에서 상장폐지, 관리종목 지정, 피흡수, 합병 등의 사유로 KOSPI 200 구성종목으로서 부적당하다고 인정되는 경우 수시로 변경될 수 있습니다. 이 투자신탁은 기초지수인 KOSPI 200을 구성하고 있는 종목에 주로 투자하는 것을 원칙으로 합니다. 다만, 자산운용회사가 추적오차의 최소화, 시장충격 등을 위하여 필요하다고 판단하는 경우, 최적화 기법을 적용하여 일부종목만 편입하는 부분복제전략을 사용할 수 있으며, 주가지수선물 등의 파생상품에 투자할 수도 있으며, 신규 편입 예정종목에도 투자할 수 있습니다. 지수에 대한 자세한 내용은 한국거래소 홈페이지(http://www.krx.co.kr)의 지수안내 통해 확인하시기 바랍니다.","이 투자신탁의 수익률은 다양한 이유(투자신탁 운용과 관련된 제반 비용, 현금배당, 구성종목의 교체/비중변경/부도)로 기초지수인 KOSPI 200의 수익률과 괴리(추적오차)가 발생할 수 있습니다. 이 경우 자산운용회사는 추적오차를 최소화하기 위하여 투자신탁 관련비용의 최소화, 추적오차를 감안한 편입 종목수 조정 등의 보완방안을 실행할 예정이나, 불가피하게 최소한의 추적오차가 발생할 가능성이 있음을 유의하셔야 합니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kindexetf.co.kr) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
11770,KODEX 건설,2009-10-30,KRX 건설,삼성자산운용(주),0.45,비과세,http://www.kodex.com,(국내) (코스피+코스닥) (-),"1좌당 순자산가치의 변동률을 기초지수인 KRX Constructions 지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다. 한국거래소가 산출하는 KRX Constructions 지수는 국내 종합건설업, 건축기술 및 엔지니어링 서비스업종을 대표하는 10개 종목으로 구성되어 있으며 2007.1.2 1,000pt를 기준으로 하여 발표되고 있습니다. 유동성, 재무상태 등의 기준을 적용하여 종목을 선정하며 유동주식가중 시가총액방식 지수로서 매년 9월 지수구성종목의 정기변경이 이루어집니다.","특정 산업에 속하는 주식에 투자하므로 국내 주식시장 전체의 성과와는 크게 다를 수 있으며, 국내 주식시장 전체에 투자하는 투자신탁보다 더 높은 위험을 부담할 수 있습니다. 거래가 부족하여 개인 수익자가 원하는 가격과 수량에 매도하지 못할 경우 개인 수익자는 현금화가 어려워질 수도 있으며, 이론 인해 기대하지 않은 손실이 발생할 수 있습니다. 투자신탁보수, 위탁매매수수료 등 관련 비용의 지출 등 현실적 제한으로 인하여 기초지수와 동일한 수익률이 실현되지 않을 가능성이 있습니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kodex.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
27953,KODEX 고배당주,2017-10-17,FnGuide 고배당 Plus 지수,삼성자산운용(주),0.3,비과세,www.kodex.com,(국내) (코스피) (-),"이 투자신탁은 FnGuide 고배당투자형 지수 (이하 “기초지수”라 한다)를 기초지수로 하여 1좌당 순자산가치의 변동률을 기초지수의 변동률과 유사하도록 투자신탁재산을 운용함을 그 운용목적으로 합니다. 다만, 집합투자업자는 이 기초지수가 기초지수 산출기관의 상황, 지수에 포함된 종목의 매매가능성 및 기타 운용에 영향을 줄 수 있는 운용환경 등의 변화로 인해 기초지수로서 적합하지 않다고 판단되거나 기초지수로서 적합하지 않는 상황이 발생할 것으로 판단되는 경우 관련된 다른 지수로 변경할 수 있습니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다.","특정주식 집중투자 위험 이 투자신탁은 테마 스타일의 특징을 위해 조정 지표 사용에 따른 특정 섹터에 집중될 위험이 있기 때문에 국내 주식시장 전체의 성과와는 크게 다를 수 있으며, 일반적으로 국내 주식시장 전체에 투자하는 일반 주식형 투자신탁보다 더 높은 위험을 부담할 가능성이 높습니다. 특정 주식의 성과에 따라 투자신탁의 성과가 좌우될 수 있습니다. 상장폐지위험 유가증권시장 상장규정 제116조의 상장폐지기준에 해당되거나 공익과 투자자보호를 위하여 증권시장이 이 투자신탁의 수익증권 상장폐지가 필요하다고 인정하는 경우 이 투자신탁은 상장폐지하여야 합니다. 개인수익자의 투자자금 회수 곤란 위험 개인수익자는 보유 수익증권을 증권시장에서 매도하는 방법으로만 현금화가 가능합니다. 즉, 개인투자자는 보유 수익증권을 판매회사 또는 지정참가회사에 환매신청할 수 없습니다. 이는 개인투자자가 부담하여야 할 과세표준을 확인할 수 없는 한계에서 기인한 것입니다. 따라서, 증권시장에서 이 투자신탁 수익증권의 거래가 부족하여 개인수익자가 원하는 가격에 원하는 수량을 매도하지 못할 경우에는 그 개인수익자가 보유한 이 투자신탁 수익증권의 현금화가 어려워질 수도 있으며, 이로 인하여 기대하지 아니한 손실이 발생할 수도 있습니다. ※ 법인수익자의 경우 보유 수익증권을 증권시장에서 매도하거나 이 투자신탁 수익증권을 설정단위 또는 그 정배수로 판매회사 또는 지정참가회사에 환매 신청할 경우에는 판매회사 또는 지정참가회사에서 환매가 가능합니다. 지수산출방식의 대폭 변경 또는 중단 위험 이 투자신탁이 추적하는 기초지수를 관리하는 지수관리회사의 사정으로 그 지수의 산출방식이 대폭 변경되어 집합투자업자의 최선의 노력에도 불구하고 기존의 투자전략으로 더 이상 그 지수를 추적할 수 없는 상황이 발생하거나, 지수관리회사의 사정 또는 기타 피치 못할 사정으로 인하여 지수의 발표가 중단되는 경우에는 그로 인하여 이 투자신탁의 운용이 중단되고, 상장 폐지 및 이 투자신탁의 전부해지가 발생할 수도 있습니다. 이러한 경우가 발생할 때에는 이로 인하여 수익자는 기대하지 아니한 손실이 발생할 수도 있습니다. 추적오차 발생위험 이 투자신탁은 기초지수와 동일한 수익률을 실현함을 그 투자목적으로 하고 있으나, 투자신탁보수, 위탁매매수수료 등 관련 비용의 지출 등 현실적 제한으로 인하여 기초지수와 동일한 수익률이 실현되지 아니할 가능성이 있습니다. 따라서 이 투자신탁의 수익률과 기초지수의 수익률이 동일할 것을 전제로 하는 투자는, 당해 추적오차로 인하여 예상하지 못한 손실을 실현할 수도 있습니다."
27105,KODEX WTI원유선물인버스(H),2017-06-13,S&P GSCI Inverse Crude Oil Index ER,삼성자산운용(주),0.35,배당소득세(보유기간과세),http://www.kodex.com/,(해외) (-) (-),"이 투자신탁은 NYMEX(New York Mercantile Exchange, 뉴욕상업거래소)에서 거래되는 원자재선물 중에서 WTI 원유선물(NYMEX Light Sweet Crude Oil Futures, 이하 ‘WTI원유선물') 가격을 기초로 하는 S&P GSCI Crude Oil Index Excess Return(이하 “기초지수”라 한다)를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수의 음(陰)의 1배의 일간변동률과 유사하도록 투자신탁재산을 운용함을 그 운용 목적으로 합니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다.",시장위험 및 개별위험 이자율 변동에 따른 위험 환율변동 위험 유동성 위험 거래상대방 및 신용위험 환매연기위험 오퍼레이션 위험 투자신탁 규모 변동에 따른 위험 투자신탁 해지 위험 투자신탁 소규모의 위험 파생상품 투자위험 상장폐지위험 개인수익자의 투자자금 회수 곤란 위험 지수산출방식의 대폭변경 또는 중단 위험 추적오차 발생위험 가격산출 중단위험 ETF 거래가격과 순자산가치(NAV)와의 괴리 위험 누적수익률과 괴리위험 롤오버(Roll-over)위험 실물자산 고유의 위험 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kodex.com/) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다.
43406,KODEX TDF2050액티브 적격,2022-06-30,Samsung Korea Target Date 2050 Index (Price Return),삼성자산운용(주),0.3,배당소득세(보유기간과세),http://www.kodex.com/,(국내&해외) (-) (-),"이 투자신탁은 S&P Dow Jones Indices 가 산출·발표하는 Samsung Korea Target Date 2050 Index를 비교지수로 하여 비교지수 대비 초과성과를 목표로 투자신탁재산을 운용하는 것을 목표로 하는 액티브상장지수펀드입니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다.","시장위험 및 개별위험 투자신탁재산을 주식, 채권, 집합투자증권 및 파생상품 등에 투자함으로써 투자대상자산의 가격 변동, 이자율 등 기타 거시경제지표의 변화에 따른 위험에 노출 됩니다. 또한, 투자신탁재산의 가치는 투자대상종목 발행 회사의 영업환경, 재무상황 및 신용상태의 악화에 따라 급격히 변동될 수 있습니다. 상장폐지위험 유가증권시장 상장규정 제116조의 상장폐지기준에 해당되거나 공익과 투자자보호를 위하여 증권시장이 이 투자신탁의 수익증권 상장폐지가 필요하다고 인정하는 경우 이 투자신탁은 상장폐지하여야 합니다. 투자자는 상장폐지 전에 매도 청산하거나, 상장폐지 시점의 NAV 기준으로 분배받게 됩니다. 시장거래에 따른 순자산가치와의 괴리 위험 이 투자신탁은 한국거래소에 상장되어 거래되며 시장가격으로 유통시장을 통해 매매됩니다. 이 투자신탁의 시장 가격은 순자산가치(NAV) 및 유통시장의 수요와 공급에 따라 변동됩니다. 따라서, 이 투자신탁의 시장 가격은 이 투자신탁에 수요와 공급으로 인해 NAV보다 높게 또는 낮게 형성될 수 있습니다. 환율변동위험 이 투자신탁은 해외투자로 인한 환율변동위험에 대해 환율변동위험 제거를 위한 환헷지 전략을 기본적으로 실시하지 않을 계획이므로 환율변동에 따른 위험에 노출되어 있습니다. 집합투자증권 등 가격변동위험 이 투자신탁은 집합투자증권 등에 주로 투자하기 때문에 동 집합투자증권의 가격변동으로 인한 손실위험에 노출됩니다. 또한, 투자신탁재산의 가치는 투자대상 집합투자증권의 운용구조, 투자성과, 보수, 거래비용 등에 따라 급격히 변동될 수 있습니다. 국가 위험 이 투자신탁은 글로벌 집합투자증권 등에 투자하기 때문에 투자대상국가의 시장, 정치 및 경제상황 등에 따른 위험에 더 많이 노출이 되어 있고, 일부 투자국가 증권의 경우 외국인의 투자 한도, 넓은 매매호가 차이, 증권시장의 제한된 개장시간과 거래량 부족 등의 원인으로 인하여 유동성에 제약이 발생할 수도 있습니다. 또한 정부정책 및 제도의 변화로 인해 자산가치의 손실이 발생할 수 있으며, 외국인에 대한 투자제한, 조세제도 변화 등의 정책적 변화 및 사회 전반적인 투명성 부족으로 인한 공시자료의 신뢰성 등의 위험도 있습니다. 액티브 ETF 투자위험 이 집합투자기구는 액티브상장지수펀드로 상장지수펀드의 순자산가치의 변화를 가격 및 지수의 변화를 초과하도록 운용하는 것을 목표로 합니다. 따라서 이 투자신탁은 투자신탁을 운용하는 담당 매니저의 재량으로 운용되는 투자신탁이며 기초지수의 성과와 다른 성과가 실현될 수 있습니다. 개인수익자의 투자자금 회수 곤란 위험 개인수익자는 보유 수익증권을 증권시장에서 매도하는 방법으로만 현금화가 가능합니다. 따라서, 증권시장에서 이 투자신탁 수익증권의 거래가 부족하여 개인 수익자가 원하는 가격에 원하는 수량을 매도하지 못할 경우에는 수익증권의 현금화가 어려워질 수도 있으며, 이로 인하여 기대하지 아니한 손실이 발생할 수도 있습니다. ※ 법인수익자의 경우 보유 수익증권을 증권시장에서 매도하거나 이 투자신탁 수익증권을 설정단위 또는 그 정배수로 판매회사 또는 지정참가회사에 환매 신청할 경우에는 판매회사 또는 지정참가회사에서 환매가 가능합니다. 자산배분전략에 따른 위험 이 투자신탁은 글로벌주식, 국내채권 및 그 외 자산 관련 상장지수집합투자증권 등에 주로 투자하는 투자신탁으로, 글로벌 경기 국면 및 자산별 기대 수익 및 위험 등에 따라 글로벌 주식, 국내채권 및 그외 자산 등 다양한 자산의 투자비중을 조절하는 자산배분 전략을 수행합니다. 그러나 이러한 자산배분전략이 시장의 움직임에 비해 효과적으로 수행되지 못할 경우 또는 특정 자산의 손실이 확대되는 경우 등 다양한 요인들로 인하여 일반투자신탁에 비해 손익의 변동성이 확대되거나 예상하지 못한 투자원금의 손실이 발생할 수 있습니다. 또한 이 투자신탁이 목표로 추구하는 수익률은 자산별 기대 수익 등을 예측하여 이론적인 자산배분 모델을 통해 구성한 포트폴리오의 장기적인 기대 수익률을 의미하는 것으로 미래의 확정 수익률이나 보장된 수익률을 의미하지 않습니다. 재간접 투자에 따른 추가 비용 이 투자신탁은 재간접형 집합투자기구로서 집합투자규약에 명시된 보수 이외에 재간접 투자에 따른 피투자신탁 보수가 발생하며, 지수사용료, 매매비용 등 기타비용이 추가로 발생할 수 있습니다. 따라서 해당 투자신탁 투자 시 이에 대한 내용을 사전적으로 반드시 확인하시기 바랍니다."
